suffix,nominalizing,allomorph,notes
a,yes,aa,
á,yes,aa,
aa,yes,aa,
áa,yes,aa,
ách',possible,ch',
ál',possible,l',
á?w,no,?,prohibitive
án,no,,
ani,no,,
áni,no,,
ás,no,s,
ás,no,s',
át,no,,
ch,no,ch,"repetitive, habitual"
ch',no,ch',
ch'á?w,no,,
ch'ál',possible,,
ch'án,possible,ch'án,
ee,no,í,
ée,no,í,
éi,possible,éi,
i,no,,
i,no,i,
i?,no,?,prohibitive
í,no,,
í,no,i,
ín,no,"in, un, ún",optional past tense marker
í?,no,?,prohibitive
ja,no,jaa,can be combination of ch+aa
já,no,jaa,can be combination of ch+aa
jaa,no,jaa,can be combination of ch+aa
jáa,no,jaa,can be combination of ch+aa
k,no,k,repetitive
k',no,k',diminutive
kt,no,kt,repetitive
kwt,no,kt,repetitive
?,no,?,prohibitive
?w,no,?,prohibitive
l,no,,
l',no,l',repetitive
l'út',no,,
n,no,,"conditional, progressive, sometimes other things. only on CV roots"
nás,no,,
s,no,s,
s',no,s',repetitive
sh,possible,,
shán,no,ch'án,
t,no,,repetitive
t',no,,repetitive
ts,no,,
u?,no,?,prohibitive
ú?,no,?,prohibitive
w,no,ÿ,
x',no,x',repetitive
x'w,no,x',repetitive
x?,no,x?,repetitive
x?w,no,x?,
x?aa,no,x?aa,
x?áa,no,x?aa,
ÿ,no,ÿ,only on CV roots
yéi,no,éi,
