suffix,nominalizing,allomorph
a,yes,aa
á,yes,aa
aa,yes,aa
áa,yes,aa
ách',possible,ch'
ál',possible,l'
áḵw,no,ḵ
án,no,
ani,no,
áni,no,
ás,no,s
ás,no,s'
át,no,
ch,no,ch
ch',no,ch'
ch'áḵw,no,
ch'ál',possible,
ch'án,possible,ch'án
ee,no,í
ée,no,í
éi,possible,éi
i,no,
i,no,i
iḵ,no,ḵ
í,no,
í,no,i
ín,no,
íḵ,no,ḵ
ja,no,jaa
já,no,jaa
jaa,no,jaa
jáa,no,jaa
k,no,k
k',no,k'
kt,no,kt
kwt,no,kt
ḵ,no,ḵ
ḵw,no,ḵ
l,no,
l',no,l'
l'út',no,
n,no,
nás,no,
s,no,s
s',no,s'
sh,possible,
shán,no,ch'án
t,no,
t',no,
ts,no,
uḵ,no,ḵ
úḵ,no,ḵ
w,no,ÿ
x',no,x'
x'w,no,x'
x̱,no,x̱
x̱w,no,x̱
x̱aa,no,x̱aa
x̱áa,no,x̱aa
ÿ,no,ÿ
yéi,no,éi
